_ - id,_ - cap,_ - comune,_ - indirizzo,lat,lon,_ - codice_nazione,_ - servizi_mobile_payment,_ - fatturazione_elettronica
5313,83130,La Garde,A57 Aire Chaberte Amandiers,43.149667,6.033886,FRA,false,false
5378,06540,Breil Sur Roya,839 Route De La Giandola,43.95771,7.520671,FRA,false,false
5379,06800,Cagnes Sur Mer,26 Avenue De Cannes,43.653787,7.146867,FRA,false,false
5380,06150,Cannes La Bocca,56 Avenue Du Docteur Picaud,43.550557,6.992282,FRA,false,false
5381,01430,Ceignes,A40 Aire De Ceignes Haut Bugey,46.11828,5.491281,FRA,false,false
5382,06670,Colomars,Rn 202,43.761554,7.202844,FRA,false,false
5383,06800,Cros De Cagnes,Boulevard De La Plage,43.656752,7.173828,FRA,false,false
5384,04320,Entrevaux,Le Village - Rd. 4202,43.950639,6.8172085,FRA,false,false
5385,06160,Juan Les Pins,122-124 Boulevard PoincarÉ,43.572755,7.101567,FRA,false,false
5386,03120,Lapalisse,94 Rue PrÉsident Roosevelt,46.247918,3.630035,FRA,false,false
5387,07170,Lavilledieu,Quartier Fournache,44.57084,4.458785,FRA,false,false
5388,07400,Le Teil,22-28 Boulevard Jean JaurÈs,44.548505,4.681504,FRA,false,false
5389,01390,Mionnay,A46 Aire De Mionnay Est Chatanay,45.886809,4.894434,FRA,false,false
5390,03100,Montlucon,106 Avenue J.f. Kennedy,46.327536,2.608524,FRA,false,false
5391,06100,Nice,63 Boulevard Gorbella,43.723979,7.255881,FRA,false,false
5392,06200,Nice,61 Avenue Ste Marguerite,43.67796,7.219237,FRA,false,false
5393,75016,Paris,115 Avenue Malakoff,48.873161,2.284403,FRA,false,false
5394,01960,Peronnas,148 Avenue De Lyon,46.190526,5.211091,FRA,false,false
5395,06190,Roquebrune Cap Martin,83 Avenue De La Cote D'azur,43.762308,7.457472,FRA,false,false
5396,06550,La Roquette Sur Siagne,235 Avenue De La Republique,43.575889,6.951628,FRA,false,false
5397,03410,St Victor,13 Route De Paris,46.401711,2.610757,FRA,false,false
5398,07000,Veyras,Le Ruissol,44.729328,4.568907,FRA,false,false
5399,42370,Renaison,603 Rue Robert Barathon,46.052305,3.934694,FRA,false,false
5406,13320,Bouc Bel Air,A7 Aire La Champouse   Sens Nord-sud,43.442,5.396,FRA,false,false
5411,30960,Les Mages,Relais Des Cambons,44.218327,4.156405,FRA,false,false
5446,42700,Firminy,Rue Des Abattoirs,45.39579,4.291213,FRA,false,false
5447,69250,Fleurieu Sur Saone,54 Route De Lyon,45.855157,4.839915,FRA,false,false
5448,13180,Gignac La Nerthe,A55 Aire De Gignac Rebuty,43.392238,5.256697,FRA,false,false
5449,33170,Gradignan,A630 Aire De Thouars Nord Rocade Sud,44.78642,-0.594891,FRA,false,false
5450,38000,Grenoble,5 Avenue Jean Perrot,45.18262,5.734188,FRA,false,false
5451,38000,Grenoble,32 Avenue Rhin Et Danube,45.178734,5.704232,FRA,false,false
5452,51390,Vrigny,A4 Aire De Gueux,49.244382,3.923131,FRA,false,false
5453,68110,Illzach,76 Rue Des Vosges,47.778225,7.352117,FRA,false,false
5454,38340,Voreppe,A48 Aire De L'isle Rose,45.276614,5.622816,FRA,false,false
5455,39140,Arlay,A39 Aire De Jura,46.77581,5.522991,FRA,false,false
5456,64170,Artix,A64 Aire De Lacq Audejos Nord,43.418835,-0.584123,FRA,false,false
5457,64170,Audejos,A64 Aire De Lacq Audejos Sud,43.421469,-0.597952,FRA,false,false
5458,72400,Villaines-la-gonais,A11 Aire De La Ferte Bernard,48.125801,0.62336,FRA,false,false
5459,81500,Lavaur,Place Rene Cassin,43.695968,1.816234,FRA,false,false
5460,58300,St Leger Des Vignes,4 Route Nationale,46.836926,3.46517,FRA,false,false
5461,42152,L Horme,19 Bis Avenue Berthelot,45.490307,4.551624,FRA,false,false
5462,69400,Liergues,2395 Route De Tarare,45.969499,4.672093,FRA,false,false
5463,13600,La Ciotat,A50 Aire Du Liouquet,43.192531,5.665924,FRA,false,false
5464,26250,Livron Sur Drome,Rn 7,44.77705,4.847473,FRA,false,false
5465,21320,Eguilly,A6 Aire Des Locheres,47.309142,4.501457,FRA,false,false
5466,45340,Beaune La Rolande,A19 Aire Du Loiret,48.08408,2.471232,FRA,false,false
5467,54700,Pont A Mousson,A31 Aire De Loisy,48.860519,6.091536,FRA,false,false
5468,88170,Sandaucourt,A31 Aire De Lorraine Sandaucourt La Trelle,48.268086,5.859788,FRA,false,false
5469,69004,Lyon,97 Rue Denfert Rochereau,45.778798,4.827809,FRA,false,false
5470,69004,Lyon,55 Bis Quai Gillet,45.780388,4.811873,FRA,false,false
5471,69005,Lyon,131 Rue Joliot Curie,45.754481,4.78025,FRA,false,false
5472,63410,Manzat,A89 Aire De Manzat,45.95731,2.989108,FRA,false,false
5473,13015,Marseille,20-22 Rn De St Antoine,43.367571,5.35683,FRA,false,false
5474,13008,Marseille,175 Avenue Clot Bey,43.254891,5.382217,FRA,false,false
5475,13015,Marseille,516 Avenue Du Chemin De Madrague,43.345803,5.354896,FRA,false,false
5476,13011,Marseille,171-173 Boulevard St Loup,43.284795,5.437363,FRA,false,false
5477,13007,Marseille,95 Avenue Des Roches,43.278559,5.363415,FRA,false,false
5478,13013,Marseille,59 Avenue De St Just,43.31683,5.404457,FRA,false,false
5479,57000,Metz,Boulevard Du Pontiffroy,49.126239,6.17861,FRA,false,false
5480,45190,Messas,A10 Aire De Meung Sur Loire,47.820795,1.641572,FRA,false,false
5481,38240,Meylan,45 Avenue Des 7 Laux,45.215341,5.781546,FRA,false,false
5482,34140,Meze,Rn 113,43.430781,3.610432,FRA,false,false
5483,73140,St Martin D'arc,A43 Aire De Saint Michel De Maurienne,45.217762,6.462581,FRA,false,false
5484,26740,Montboucher Sur Jabron,410 Route De Montelimar,44.547747,4.801614,FRA,false,false
5485,34070,Montpellier,114-116 Avenue De Palavas,43.596313,3.88733,FRA,false,false
5486,34080,Montpellier,544 Avenue Paul Rimbaud,43.618232,3.843736,FRA,false,false
5487,34000,Montpellier,Zac De Tournezy,43.578847,3.876747,FRA,false,false
5488,73290,La Motte Servolex,Avenue Jean Rostand,45.592671,5.883917,FRA,false,false
